NUM;Fecha;0;1;2;3;4
270;2018-04-22 21:00:00;23.3707264957;23.2579957356;23.1463675214;23.3062966916;23.1175213675
271;2018-04-22 21:30:00;23.2579957356;23.1463675214;23.3062966916;23.1175213675;23.132196162
272;2018-04-22 22:00:00;23.1463675214;23.3062966916;23.1175213675;23.132196162;23.3653846154
273;2018-04-22 22:30:00;23.3062966916;23.1175213675;23.132196162;23.3653846154;23.1002132196
274;2018-04-22 23:00:00;23.1175213675;23.132196162;23.3653846154;23.1002132196;23.1173959445
275;2018-04-22 23:30:00;23.132196162;23.3653846154;23.1002132196;23.1173959445;23.5
276;2018-04-23 00:00:00;23.3653846154;23.1002132196;23.1173959445;23.5;23.7899249732
277;2018-04-23 00:30:00;23.1002132196;23.1173959445;23.5;23.7899249732;23.625267666
278;2018-04-23 01:00:00;23.1173959445;23.5;23.7899249732;23.625267666;23.4518201285
279;2018-04-23 01:30:00;23.5;23.7899249732;23.625267666;23.4518201285;23.7505353319
280;2018-04-23 02:00:00;23.7899249732;23.625267666;23.4518201285;23.7505353319;23.6570203644
281;2018-04-23 02:30:00;23.625267666;23.4518201285;23.7505353319;23.6570203644;23.7719486081
282;2018-04-23 03:00:00;23.4518201285;23.7505353319;23.6570203644;23.7719486081;23.5160599572
283;2018-04-23 03:30:00;23.7505353319;23.6570203644;23.7719486081;23.5160599572;23.594017094
284;2018-04-23 04:00:00;23.6570203644;23.7719486081;23.5160599572;23.594017094;23.6367521368
285;2018-04-23 04:30:00;23.7719486081;23.5160599572;23.594017094;23.6367521368;23.6495176849
286;2018-04-23 05:00:00;23.5160599572;23.594017094;23.6367521368;23.6495176849;23.5214132762
287;2018-04-23 05:30:00;23.594017094;23.6367521368;23.6495176849;23.5214132762;24.0
288;2018-04-23 06:00:00;23.6367521368;23.6495176849;23.5214132762;24.0;24.0
289;2018-04-23 06:30:00;23.6495176849;23.5214132762;24.0;24.0;24.0
290;2018-04-23 07:00:00;23.5214132762;24.0;24.0;24.0;24.0
291;2018-04-23 07:30:00;24.0;24.0;24.0;24.0;24.0
292;2018-04-23 08:00:00;24.0;24.0;24.0;24.0;24.0
293;2018-04-23 08:30:00;24.0;24.0;24.0;24.0;24.0
294;2018-04-23 09:00:00;24.0;24.0;24.0;24.0;24.0
295;2018-04-23 09:30:00;24.0;24.0;24.0;24.0;24.0
296;2018-04-23 10:00:00;24.0;24.0;24.0;24.0;24.0
297;2018-04-23 10:30:00;24.0;24.0;24.0;24.0;24.0
298;2018-04-23 11:00:00;24.0;24.0;24.0;24.0;24.0
299;2018-04-23 11:30:00;24.0;24.0;24.0;24.0;24.0
300;2018-04-23 12:00:00;24.0;24.0;24.0;24.0;24.0
301;2018-04-23 12:30:00;24.0;24.0;24.0;24.0;24.0
302;2018-04-23 13:00:00;24.0;24.0;24.0;24.0;24.0
303;2018-04-23 13:30:00;24.0;24.0;24.0;24.0;24.0
304;2018-04-23 14:00:00;24.0;24.0;24.0;24.0;24.0
305;2018-04-23 14:30:00;24.0;24.0;24.0;24.0;24.0
306;2018-04-23 15:00:00;24.0;24.0;24.0;24.0;24.0320170758
307;2018-04-23 15:30:00;24.0;24.0;24.0;24.0320170758;24.4690831557
308;2018-04-23 16:00:00;24.0;24.0;24.0320170758;24.4690831557;24.0
309;2018-04-23 16:30:00;24.0;24.0320170758;24.4690831557;24.0;24.0
310;2018-04-23 17:00:00;24.0320170758;24.4690831557;24.0;24.0;24.0
311;2018-04-23 17:30:00;24.4690831557;24.0;24.0;24.0;24.0
312;2018-04-23 18:00:00;24.0;24.0;24.0;24.0;24.0
313;2018-04-23 18:30:00;24.0;24.0;24.0;24.0;23.9936034115
314;2018-04-23 19:00:00;24.0;24.0;24.0;23.9936034115;24.0
315;2018-04-23 19:30:00;24.0;24.0;23.9936034115;24.0;24.0
316;2018-04-23 20:00:00;24.0;23.9936034115;24.0;24.0;24.0
317;2018-04-23 20:30:00;23.9936034115;24.0;24.0;24.0;24.0
318;2018-04-23 21:00:00;24.0;24.0;24.0;24.0;24.0
319;2018-04-23 21:30:00;24.0;24.0;24.0;24.0;23.9989361702
320;2018-04-23 22:00:00;24.0;24.0;24.0;23.9989361702;24.0
321;2018-04-23 22:30:00;24.0;24.0;23.9989361702;24.0;23.9744136461
322;2018-04-23 23:00:00;24.0;23.9989361702;24.0;23.9744136461;24.0
323;2018-04-23 23:30:00;23.9989361702;24.0;23.9744136461;24.0;24.0
324;2018-04-24 00:00:00;24.0;23.9744136461;24.0;24.0;24.0
325;2018-04-24 00:30:00;23.9744136461;24.0;24.0;24.0;24.0
326;2018-04-24 01:00:00;24.0;24.0;24.0;24.0;24.0
327;2018-04-24 01:30:00;24.0;24.0;24.0;24.0;24.0
328;2018-04-24 02:00:00;24.0;24.0;24.0;24.0;24.0
329;2018-04-24 02:30:00;24.0;24.0;24.0;24.0;24.0
330;2018-04-24 03:00:00;24.0;24.0;24.0;24.0;24.0
331;2018-04-24 03:30:00;24.0;24.0;24.0;24.0;24.0
332;2018-04-24 04:00:00;24.0;24.0;24.0;24.0;24.0
333;2018-04-24 04:30:00;24.0;24.0;24.0;24.0;23.849197861
334;2018-04-24 05:00:00;24.0;24.0;24.0;23.849197861;23.449197861
335;2018-04-24 05:30:00;24.0;24.0;23.849197861;23.449197861;23.1927194861
336;2018-04-24 06:00:00;24.0;23.849197861;23.449197861;23.1927194861;23.2152034261
337;2018-04-24 06:30:00;23.849197861;23.449197861;23.1927194861;23.2152034261;23.1414790997
338;2018-04-24 07:00:00;23.449197861;23.1927194861;23.2152034261;23.1414790997;23.1411764706
339;2018-04-24 07:30:00;23.1927194861;23.2152034261;23.1414790997;23.1411764706;23.2658092176
340;2018-04-24 08:00:00;23.2152034261;23.1414790997;23.1411764706;23.2658092176;23.2708779443
